"depth","name","ID"
2677828,"BCA1","45"
4235638,"BCB3","10"
2623182,"BCB1","51"
2199352,"BCC1","54"
2662174,"BCF1","58"
2223840,"BCD1","56"
2395982,"BCE1","57"
3057103,"BCD7","46"
3612500,"BCA2","1"
2025834,"BCG1","59"
3449787,"BCB4","18"
1905822,"BCH1","42"
3392166,"BCA3","9"
4450274,"BCA4","17"
3603605,"BCF2","6"
3508039,"BCC2","3"
3644890,"BCD2","4"
4945011,"BCB2","2"
4422253,"BCE2","5"
2537945,"BCG2","7"
3093269,"BCH2","8"
4464715,"BCC3","11"
3517397,"BCD3","12"
4205914,"BCF3","14"
3533267,"BCG3","15"
4454102,"BCH3","16"
4076458,"BCC4","19"
2801139,"BCD4","20"
2683014,"BCE4","21"
2432670,"BCF4","22"
2424012,"BCG4","23"
2549987,"BCH4","24"
3073976,"BCA5","25"
2815803,"BCB5","26"
3009258,"BCC5","27"
2379523,"BCD5","28"
2655263,"BCE5","29"
2272658,"BCF5","30"
2080091,"BCG5","31"
2564138,"BCH5","32"
3462403,"BCA6","33"
3823306,"BCB6","34"
2412354,"BCC6","35"
2249698,"BCD6","36"
2527755,"BCE6","37"
2443135,"BCF6","38"
2177805,"BCG6","39"
2508813,"BCH6","40"
2815753,"BCA7","41"
2787451,"BCB7","43"
2936334,"BCC7","44"
2816807,"BCF7","48"
3275268,"BCG7","49"
2684561,"BCH7","50"
9615321,"BCE7","47"
3142154,"BCA8","52"
3059177,"BCC8","55"
2422391,"BCH8","64"
2940558,"BCE8","61"
2753663,"BCG8","63"
2732739,"BCD8","60"
3025570,"BCB8","53"
3575939,"BCF8","62"
3018911,"BCA9","65"
2711979,"BCC9","67"
2669020,"BCD9","68"
2629775,"BCE9","69"
2516060,"BCF9","70"
3389079,"BCB9","66"
2123629,"BCG9","71"
2178831,"BCH9","72"
2512166,"BCA10","73"
3135759,"BCB10","74"
2148132,"BCC10","75"
2722665,"BCD10","76"
3350951,"BCE10","77"
2277892,"BCF10","78"
