depth	file
2677828	BCA1

4235638	BCB3

2623182	BCB1

2199352	BCC1

2662174	BCF1

2223840	BCD1

2395982	BCE1

3057103	BCD7

3612500	BCA2

2025834	BCG1

3449787	BCB4

1905822	BCH1

3392166	BCA3

4450274	BCA4

3603605	BCF2

3508039	BCC2

3644890	BCD2

4945011	BCB2

4422253	BCE2

2537945	BCG2

3093269	BCH2

4464715	BCC3

3517397	BCD3

4205914	BCF3

3533267	BCG3

4454102	BCH3

4076458	BCC4

2801139	BCD4

2683014	BCE4

2432670	BCF4

2424012	BCG4

2549987	BCH4

3073976	BCA5

2815803	BCB5

3009258	BCC5

2379523	BCD5

2655263	BCE5

2272658	BCF5

2080091	BCG5

2564138	BCH5

3462403	BCA6

3823306	BCB6

2412354	BCC6

2249698	BCD6

2527755	BCE6

2443135	BCF6

2177805	BCG6

2508813	BCH6

2815753	BCA7

2787451	BCB7

2936334	BCC7

2816807	BCF7

3275268	BCG7

2684561	BCH7

9615321	BCE7

3142154	BCA8

3059177	BCC8

2422391	BCH8

2940558	BCE8

2753663	BCG8

2732739	BCD8

3025570	BCB8

3575939	BCF8

3018911	BCA9

2711979	BCC9

2669020	BCD9

2629775	BCE9

2516060	BCF9

3389079	BCB9

2123629	BCG9

2178831	BCH9

2512166	BCA10

3135759	BCB10

2148132	BCC10

2722665	BCD10

3350951	BCE10

2277892	BCF10

